Kuntanumero 2013,Kunta 2013,Valtuutettuja hlöä,Valtuustokoon perusteena oleva asukasluku 31.5.2012 (kuntaliitoskuntien asukasluvut yhdistetty),Peruste poiketa asukasluvun mukaisesta valtuutettujen lukumäärästä
20,Akaa,43,17109,
5,Alajärvi,35,10351,
9,Alavieska,21,2767,
10,Alavus,35,12387,
16,Asikkala,35,8514,
18,Askola,27,4955,
19,Aura,21,3971,
46,Enonkoski,17,1561,
47,Enontekiö,17,1892,
49,Espoo,75,253950,
50,Eura,35,12449,
51,Eurajoki,27,5862,
52,Evijärvi,21,2732,
61,Forssa,43,17771,
69,Haapajärvi,27,7624,
71,Haapavesi,27,7355,
72,Hailuoto,17,1000,
74,Halsua,17,1259,
75,Hamina,43,21394,
77,Hankasalmi,27,5473,
78,Hanko,35,9387,
79,Harjavalta,27,7498,
81,Hartola,21,3263,
82,Hattula,35,9698,
86,Hausjärvi,35,8866,
111,Heinola,43,20128,
90,Heinävesi,21,3822,
91,Helsinki,85,598491,
97,Hirvensalmi,21,2388,
98,Hollola,43,22109,
99,Honkajoki,17,1846,
102,Huittinen,35,10623,
103,Humppila,21,2508,
105,Hyrynsalmi,21,2645,
106,Hyvinkää,51,45687,
283,Hämeenkoski,21,2112,
108,Hämeenkyrö,35,10532,
109,Hämeenlinna,59,67214,
139,Ii ,35,9550,
140,Iisalmi,43,22125,
142,Iitti,27,6980,
143,Ikaalinen,27,7335,
145,Ilmajoki,35,11948,
146,Ilomantsi,27,5790,
153,Imatra,43,28429,
148,Inari,27,6741,
149,Inkoo,27,5564,
151,Isojoki,21,2327,
152,Isokyrö,27,4944,
164,Jalasjärvi,35,8120,
165,Janakkala,43,16990,
167,Joensuu,59,73697,
169,Jokioinen,27,5680,
171,Joroinen,27,5317,
172,Joutsa,27,4950,
174,Juankoski,27,5117,
176,Juuka,27,5400,
177,Juupajoki,21,2029,
178,Juva,27,6888,
179,Jyväskylä,67,131973,
181,Jämijärvi,21,2002,
182,Jämsä,43,22516,
186,Järvenpää,51,39317,
202,Kaarina,51,31158,
204,Kaavi,21,3350,
205,Kajaani,51,37962,
208,Kalajoki,35,12647,
211,Kangasala,51,30032,
213,Kangasniemi,27,5866,
214,Kankaanpää,35,12052,
216,Kannonkoski,17,1548,
217,Kannus,27,5749,
218,Karijoki,17,1519,
224,Karkkila,35,9206,
226,Karstula,27,4435,
230,Karvia,21,2577,
231,Kaskinen,17,1396,
232,Kauhajoki,35,14195,
233,Kauhava,43,17311,
235,Kauniainen,35,8764,
236,Kaustinen,27,4307,
239,Keitele,21,2501,
240,Kemi,43,22332,
320,Kemijärvi,35,8233,
241,Keminmaa,35,8588,
322,Kemiönsaari,27,7158,
244,Kempele,43,16280,
245,Kerava,51,34480,
249,Keuruu,35,10554,
250,Kihniö,21,2167,
256,Kinnula,17,1805,
257,Kirkkonummi,51,37466,
260,Kitee,35,11479,
261,Kittilä,27,6300,
263,Kiuruvesi,35,9050,
265,Kivijärvi,17,1327,
271,Kokemäki,27,7945,
272,Kokkola,51,46638,
273,Kolari,21,3838,
275,Konnevesi,21,2924,
276,Kontiolahti,35,14104,
280,Korsnäs,21,2242,
284,Koski Tl,21,2453,
285,Kotka,51,54907,
286,Kouvola,59,87536,
287,Kristiinankaupunki,27,7114,
288,Kruunupyy,27,6679,
290,Kuhmo,35,9278,
291,Kuhmoinen,21,2488,
297,Kuopio,59,103942,
300,Kuortane,21,3884,
301,Kurikka,43,14464,Laajennettu valtuustokoko (kuntaliitos 2009)
304,Kustavi,17,886,
305,Kuusamo,43,16366,
312,Kyyjärvi,17,1499,
316,Kärkölä,27,4831,
317,Kärsämäki,21,2788,
319,Köyliö,21,2803,
398,Lahti,59,102419,
399,Laihia,27,7966,
400,Laitila,35,8461,
407,Lapinjärvi,21,2845,
402,Lapinlahti,35,10367,
403,Lappajärvi,21,3431,
405,Lappeenranta,59,72072,
408,Lapua,35,14582,
410,Laukaa,43,18398,
413,Lavia,17,1946,
416,Lemi,21,3062,
418,Lempäälä,43,21119,
420,Leppävirta,35,10392,
421,Lestijärvi,15,837,Pienennetty valtuustokoko (as.luku enint. 2000)
422,Lieksa,35,12536,
423,Lieto,43,16803,
425,Liminka,35,9270,
426,Liperi,35,12363,
444,Lohja,51,47457,
430,Loimaa,43,16849,
433,Loppi,35,8393,
